Date,0992.HK.Close,2357.TW.Close,AAPL.Close,ACER.Close,DELL.Close,HPQ.Close
2021-01-04,7.62,251,129.410004,2.54,36.741005,24.110001
2021-01-05,7.63,253,131.009995,2.56,37.232639,24.459999
2021-01-06,7.48,254,126.599998,2.48,37.541813,24.959999
2021-01-07,7.56,261.5,130.919998,2.53,38.692348,25.75
2021-01-08,7.91,279.5,132.050003,2.49,39.138367,25.530001
2021-01-11,7.39,283.5,128.979996,2.47,38.332489,25.780001
2021-01-12,8.05,281,128.800003,2.58,38.90015,25.91
2021-01-13,8.83,288.5,130.889999,2.88,36.102383,25.709999
2021-01-14,8.82,288,128.910004,2.86,37.126205,25.620001
2021-01-15,8.8,287,127.139999,3.85,37.638115,25.17
2021-01-18,9.18,283,127.139999,3.85,37.638115,25.17
2021-01-19,9.31,285,127.830002,4.33,37.942219,25.139999
2021-01-20,9.05,276,132.029999,3.86,39.052204,25.200001
2021-01-21,9.22,282,136.869995,3.72,38.976177,25.360001
2021-01-22,9.27,284.5,139.070007,3.67,38.489609,25.27
2021-01-25,9.75,290,142.919998,4.39,38.35783,25.02
2021-01-26,9.9,284,143.160004,3.95,38.540295,24.620001
2021-01-27,9.79,293,142.059998,3.68,37.435379,24.85
2021-01-28,9.44,288.5,137.089996,3.79,37.46579,24.870001
2021-01-29,9.13,286.5,131.960007,3.65,36.943741,24.34
2021-02-01,9.68,283.5,134.139999,3.64,37.480991,24.48
2021-02-02,9.71,285.5,134.990005,3.73,39.113026,24.889999
2021-02-03,10.16,288.5,133.940002,3.89,39.406994,25.23
2021-02-04,9.84,287,137.389999,4.06,40.19767,25.950001
2021-02-05,9.86,288.5,136.759995,3.99,40.34972,26.15
2021-02-08,9.75,288.5,136.910004,3.99,40.516979,27.299999
2021-02-09,10.18,288.5,136.009995,3.87,40.339584,27.09
2021-02-10,10.06,288.5,135.389999,4.09,40.334515,27.15
2021-02-11,10,288.5,135.130005,3.99,40.293968,27.379999
2021-02-12,10,288.5,135.369995,3.84,40.572731,27.49
2021-02-16,10.3,288.5,133.190002,3.81,40.263557,27.16
2021-02-17,10.66,289.5,130.839996,3.74,40.172325,26.280001
2021-02-18,10.68,289,129.710007,3.5,40.39027,26.41
2021-02-19,10.72,290,129.869995,3.58,40.937656,27.1
2021-02-22,10.04,290,126,3.32,40.937656,27.120001
2021-02-23,10.18,290.5,125.860001,3.16,40.831223,27.379999
2021-02-24,10.04,300.5,125.349998,3.35,41.403954,27.969999
2021-02-25,10.26,305.5,120.989998,3.17,40.385201,28.190001
2021-02-26,9.81,304,121.260002,3.15,41.08971,28.969999
2021-03-01,10.28,304,127.790001,3.25,42.113533,29.58
2021-03-02,10.3,307.5,125.120003,3.19,41.920933,30.040001
2021-03-03,10.42,316.5,122.059998,3.38,42.372021,29.82
2021-03-04,9.96,313.5,120.129997,2.85,41.966549,28.07
2021-03-05,9.98,311,121.419998,2.87,43.258995,29.75
2021-03-08,9.77,315.5,116.360001,2.83,43.137356,30.16
2021-03-09,9.64,313,121.089996,3.04,43.836796,30.1
2021-03-10,9.97,312.5,119.980003,3.13,44.439938,30.26
2021-03-11,10.34,317.5,121.959999,3.25,44.91637,30.34
2021-03-12,9.81,323.5,121.029999,3.41,45.017738,30.280001
2021-03-15,9.12,326,123.989998,4.2,45.261024,30.790001
2021-03-16,9.08,331,125.57,3.6,45.149517,30.43
2021-03-17,8.91,325.5,124.760002,3.53,46.264572,30.74
2021-03-18,9.28,358,120.529999,3.44,44.657883,30.309999
2021-03-19,9.27,377.5,119.989998,3.46,44.414597,30.08
2021-03-22,9.45,368.5,123.389999,3.9,44.272682,30.469999
2021-03-23,9.7,365.5,122.540001,3.48,43.461735,29.58
2021-03-24,9.72,366,120.089996,3.19,43.765839,29.370001
2021-03-25,9.67,365,120.589996,3.14,43.583378,29.889999
2021-03-26,10.04,365,121.209999,2.98,45.103905,31.66
2021-03-29,10.04,374,121.389999,3.02,44.708565,31.07
2021-03-30,11.28,377,119.900002,2.98,44.901165,31.559999
2021-03-31,11.06,372.5,122.150002,3.11,44.678154,31.75
