Date,Symbol,Price.Type,Price
2021-01-04,0992.HK,Adjusted,7.023958
2021-01-05,0992.HK,Adjusted,7.033176
2021-01-06,0992.HK,Adjusted,6.894909
2021-01-07,0992.HK,Adjusted,6.968651
2021-01-08,0992.HK,Adjusted,7.291274
2021-01-11,0992.HK,Adjusted,6.811949
2021-01-12,0992.HK,Adjusted,7.420323
2021-01-13,0992.HK,Adjusted,8.139312
2021-01-14,0992.HK,Adjusted,8.130093
2021-01-15,0992.HK,Adjusted,8.111658
2021-01-18,0992.HK,Adjusted,8.461935
2021-01-19,0992.HK,Adjusted,8.581766
2021-01-20,0992.HK,Adjusted,8.342103
2021-01-21,0992.HK,Adjusted,8.498806
2021-01-22,0992.HK,Adjusted,8.544894
2021-01-25,0992.HK,Adjusted,8.987348
2021-01-26,0992.HK,Adjusted,9.125614
2021-01-27,0992.HK,Adjusted,9.024219
2021-01-28,0992.HK,Adjusted,8.701596
2021-01-29,0992.HK,Adjusted,8.415845
2021-02-01,0992.HK,Adjusted,8.922824
2021-02-02,0992.HK,Adjusted,8.950476
2021-02-03,0992.HK,Adjusted,9.365277
2021-02-04,0992.HK,Adjusted,9.070308
2021-02-05,0992.HK,Adjusted,9.088743
2021-02-08,0992.HK,Adjusted,8.987348
2021-02-09,0992.HK,Adjusted,9.383714
2021-02-10,0992.HK,Adjusted,9.273099
2021-02-11,0992.HK,Adjusted,9.217793
2021-02-12,0992.HK,Adjusted,9.217793
2021-02-16,0992.HK,Adjusted,9.494327
2021-02-17,0992.HK,Adjusted,9.826167
2021-02-18,0992.HK,Adjusted,9.844604
2021-02-19,0992.HK,Adjusted,9.881474
2021-02-22,0992.HK,Adjusted,9.254663
2021-02-23,0992.HK,Adjusted,9.383714
2021-02-24,0992.HK,Adjusted,9.254663
2021-02-25,0992.HK,Adjusted,9.457456
2021-02-26,0992.HK,Adjusted,9.042655
2021-03-01,0992.HK,Adjusted,9.47589
2021-03-02,0992.HK,Adjusted,9.494327
2021-03-03,0992.HK,Adjusted,9.60494
2021-03-04,0992.HK,Adjusted,9.180922
2021-03-05,0992.HK,Adjusted,9.199356
2021-03-08,0992.HK,Adjusted,9.005784
2021-03-09,0992.HK,Adjusted,8.885953
2021-03-10,0992.HK,Adjusted,9.190139
2021-03-11,0992.HK,Adjusted,9.531199
2021-03-12,0992.HK,Adjusted,9.042655
2021-03-15,0992.HK,Adjusted,8.406627
2021-03-16,0992.HK,Adjusted,8.369756
2021-03-17,0992.HK,Adjusted,8.213054
2021-03-18,0992.HK,Adjusted,8.554111
2021-03-19,0992.HK,Adjusted,8.544894
2021-03-22,0992.HK,Adjusted,8.710814
2021-03-23,0992.HK,Adjusted,8.941258
2021-03-24,0992.HK,Adjusted,8.959695
2021-03-25,0992.HK,Adjusted,8.913605
2021-03-26,0992.HK,Adjusted,9.254663
2021-03-29,0992.HK,Adjusted,9.254663
2021-03-30,0992.HK,Adjusted,10.39767
2021-03-31,0992.HK,Adjusted,10.194879
2021-01-04,0992.HK,Close,7.62
2021-01-05,0992.HK,Close,7.63
2021-01-06,0992.HK,Close,7.48
2021-01-07,0992.HK,Close,7.56
2021-01-08,0992.HK,Close,7.91
2021-01-11,0992.HK,Close,7.39
2021-01-12,0992.HK,Close,8.05
2021-01-13,0992.HK,Close,8.83
2021-01-14,0992.HK,Close,8.82
2021-01-15,0992.HK,Close,8.8
2021-01-18,0992.HK,Close,9.18
2021-01-19,0992.HK,Close,9.31
2021-01-20,0992.HK,Close,9.05
2021-01-21,0992.HK,Close,9.22
2021-01-22,0992.HK,Close,9.27
2021-01-25,0992.HK,Close,9.75
2021-01-26,0992.HK,Close,9.9
2021-01-27,0992.HK,Close,9.79
2021-01-28,0992.HK,Close,9.44
2021-01-29,0992.HK,Close,9.13
2021-02-01,0992.HK,Close,9.68
2021-02-02,0992.HK,Close,9.71
2021-02-03,0992.HK,Close,10.16
2021-02-04,0992.HK,Close,9.84
2021-02-05,0992.HK,Close,9.86
2021-02-08,0992.HK,Close,9.75
2021-02-09,0992.HK,Close,10.18
2021-02-10,0992.HK,Close,10.06
2021-02-11,0992.HK,Close,10
2021-02-12,0992.HK,Close,10
2021-02-16,0992.HK,Close,10.3
2021-02-17,0992.HK,Close,10.66
2021-02-18,0992.HK,Close,10.68
2021-02-19,0992.HK,Close,10.72
2021-02-22,0992.HK,Close,10.04
2021-02-23,0992.HK,Close,10.18
2021-02-24,0992.HK,Close,10.04
2021-02-25,0992.HK,Close,10.26
2021-02-26,0992.HK,Close,9.81
2021-03-01,0992.HK,Close,10.28
2021-03-02,0992.HK,Close,10.3
2021-03-03,0992.HK,Close,10.42
2021-03-04,0992.HK,Close,9.96
2021-03-05,0992.HK,Close,9.98
2021-03-08,0992.HK,Close,9.77
2021-03-09,0992.HK,Close,9.64
2021-03-10,0992.HK,Close,9.97
2021-03-11,0992.HK,Close,10.34
2021-03-12,0992.HK,Close,9.81
2021-03-15,0992.HK,Close,9.12
2021-03-16,0992.HK,Close,9.08
